Företagsnamn,Geografi_original,Landskap_original,Revenue_SEK,Employees,Email,Phone,County,Municipality,City,ZipCode,ContactPerson,ContactRole
A4U i Skåne AB,,,2501,2,,0706248227,Skåne,Svalöv,Teckomatorp,268 71,Mattias Erik Tranmosse,Verkställande direktör
AA Kyl & Energiteknik AB,Sävsjö,Småland,4461,2,kylman@icloud.com,0382-72000,Jönköping,Sävsjö,Sävsjö,576 33,Hans Anders Ahlqvist,Ledamot
AA Kyl & Energiteknik AB,,,4461,2,kylman@icloud.com,0382-72000,Jönköping,Sävsjö,Sävsjö,576 33,Hans Anders Ahlqvist,Ledamot
AB AH Cederqvist & Söner,,,16880,8,,047920080,Skåne,Osby,Lönsboda,283 71,Pär Simon Johansson,Verkställande direktör
AB Automat- & Kyltjänst,,,13373,8,,060613340,Västernorrland,Sundsvall,Sundsvall,856 33,Richard Paul Lind,Ordförande
AB Bredin & Co,,,0,0,,0701705273,Gävleborg,Bollnäs,Arbrå,821 61,Anna Margareta Bremin,Ledamot
AB D. Sjölunds Värme,,,68778,24,,,Västernorrland,Örnsköldsvik,Örnsköldsvik,891 63,Nils Peter Sjölund,Ledamot
AB Infjärdens Värme,,,379344,270,,0104144000,Norrbotten,Piteå,Piteå,941 47,Anna Mari Nilsson,Extern verkställande direktör
AB K.G. Karlssons Rörledningsfirma,,,,,,,,,,,,
AB Karlskrona Kylservice,,,12556,4,,045549920,Blekinge,Karlskrona,Nättraby,373 31,Knut Tobias Levin,Extern verkställande direktör
AB Kristianstads Kylservice,,,89153,31,,,Skåne,Kristianstad,Kristianstad,291 36,Knut Tobias Levin,Extern verkställande direktör
AB KVP Service,,,1243,1,,08195019,Stockholm,Haninge,Västerhaninge,137 36,Bernt Olof Fredriksson,Ledamot
AB Kyl & Värmepumpar,Bankeryd,Småland,4554,2,,033270044,Västra Götaland,Borås,Äspered,516 92,Bernd Michael Finkenwirth,Ledamot
AB Rörinstallationer & Smide,,,21923,10,,047731265,Kronoberg,Tingsryd,Tingsryd,362 30,Sven Olof Pontus Olofsson,Ordförande
AB Storå Rör,,,65766,21,,,Örebro,Lindesberg,Storå,711 76,Ellen Kristina Arrestad,Verkställande direktör
AB Sture Anderssons Rörinstallationer,,,,,,,,,,,,
AB Sundåsens Rör,,,8318,3,,066051313,Västernorrland,Örnsköldsvik,Domsjö,892 34,Tony Ingemar Norberg,Verkställande direktör
AB Sävsjö Rörtjänst,,,11092,4,,,Jönköping,Sävsjö,Sävsjö,576 31,Jonny Rune Bo Eriksson,Ordförande
AB Täby VVS och Service,,,29448,8,,,Stockholm,Täby,Täby,187 46,Jesper Carl Wilhelm Törnqvist,Verkställande direktör
AB Vårgårda VVS,,,16880,8,lennart@vargardavvs.se,+46322620060,,,,,Lennart Inge Kjellson,Ordförande
Ac kyl & Värmeteknik,Kallinge,Blekinge,7604,3,,,Blekinge,Ronneby,Kallinge,372 52,Andreas Henrik Ingvar Arvidsson,Ordförande
Activ Kyl & Klimatservice Holm AB,,,18399,8,,086502591,Stockholm,Sollentuna,,,Matts Clas Lennart Holm,Ordförande
Aderbys Rör AB,,,149832,62,,030033700,Halland,Kungsbacka,Kungsbacka,434 37,Patrik Andreas Molander,Verkställande direktör
Adste Klimatkonsult AB,,,,1-4,,,Södermanland,Katrineholm,Katrineholm,641 35,Adam Thure Åke Stenberg,Verkställande direktör
Affes Värmepumpsservice AB,,,6571,3,,,Stockholm,Huddinge,Huddinge,141 33,Alf Roland Lundstedt,Verkställande direktör
AirControl i Borås AB,,,16150,4,,,Västra Götaland,Borås,Borås,504 67,Anders Sven-Olof Johansson,Ordförande
Aktiebolaget Fläktman,,,10955,4,,031519958,Västra Götaland,Mölndal,Mölndal,431 53,Carl Fredrik Sundelius,Ledamot
Aktiebolaget Kyl & Värmepumpar Åkesson & Berglund,,,,,,,,,,,,
Aktiv Kyla Sweden AB,,,2243,1,,,Halland,Kungsbacka,Onsala,439 91,Erik Lennart Sernekvist,Ledamot
Algerstedts AC och Värmepumpservice,,,,,,,,,,,,
All-Round Kyl AB,Göteborg,Västra Götaland,0,0,,031220303,Västra Götaland,Partille,Sävedalen,433 61,Per Ulf Weidenmo,Ordförande
All-Round Kyl AB,,,0,0,,031220303,Västra Götaland,Partille,Sävedalen,433 61,Per Ulf Weidenmo,Ordförande
Alltek 08-018 VVS Installationer AB,,,25938,9,,,Uppsala,Uppsala,Uppsala,754 54,Erik Patrik Boberg,Verkställande direktör
Allvärmeteknik KVV AB,,,36964,23,,012320000,Östergötland,Valdemarsvik,Valdemarsvik,615 32,Jan Peter Karlsson,Ordförande
Ambjörby Rör AB,,,8555,4,,,Värmland,Torsby,Ambjörby,680 52,Per Erik Svensson,Ledamot
AMT Kyl & Värmeteknik AB,,,3889,2,,,Kalmar,Västervik,Västervik,593 38,Pierre Alexander Linde Petersson,Ledamot
Anders Johanssons VVS & Energiteknik AB,,,,,,,,,,,,
Antons Kyl Service HB,,,,,,,,,,,,
APS drift och underhåll AB,,,202099,89,,0317610030,Västra Götaland,Göteborg,Göteborg,417 07,Mikael Sakari Maliniemi,Extern verkställande direktör
B & O Rör- och värmeservice AB,,,11183,4,,,Västra Götaland,Göteborg,Göteborg,417 28,Jan Olof Gunnar Hagberg,Ledamot
B C C - El & Kyla,,,,,,,Östergötland,Ydre,,,,
B J Kylspecialisten AB,Karlshamn,Blekinge,4964,3,,045416236,Blekinge,Karlshamn,Karlshamn,374 40,B J Mikael Björklund Johansson,Ledamot
B.G.H. Konsult AB,,,0,0,,,Skåne,Vellinge,Höllviken,236 38,Bengt Fredrik Jacobson,Ordförande
B.R.A. Berghogens Rör AB,,,57316,15,,0522641282,Västra Götaland,Uddevalla,Uddevalla,451 75,Peter Mattias Bergkvist,Verkställande direktör
B.Widnemark AB,,,2218,1,,,Gotland,Gotland,Visby,622 61,Kim Johannes Widnemark,Ledamot
Bemt AB,,,295919,134,,040599595,Skåne,Malmö,Malmö,212 41,Lars Nicklas Brannefalk,Ledamot
Bemt Nord AB,,,20000,11,,,Västernorrland,Sundsvall,Sundsvall,856 50,Clas Göran Hedblom,Extern verkställande direktör
Bengt Dahlgren Stockholm GEO AB,,,24674,16,,0858888100,Stockholm,Stockholm,Stockholm,120 30,Jose Enrique Acuna Sequera,Verkställande direktör
Bengt Jonssons Brunnsborrning på Tjörn AB,,,30424,14,,0304660777,Västra Götaland,Tjörn,Hjälteby,471 72,Jan Magnus Jonsson,Ordförande
Bengtsfors kommun,,,,1000-1499,,0531526000,Västra Götaland,Bengtsfors,Bengtsfors,666 31,,
Berghults Rör AB,,,6706,2,,0703346608,Jämtland,Krokom,Offerdal,835 97,Hans-Erik Eriksson,Ledamot
Bergkvist Rör & Smide AB,,,3843,2,,,Stockholm,Vallentuna,Brottby,186 97,Björn Owe Bergqvist,Ledamot
Berglunds Kyl & Frys AB,,,2759,1,,040421089,Skåne,Vellinge,Vellinge,235 32,Karl Tommy Alm,Ledamot
Bergslagskyl i Dalarna AB,,,37987,16,,0240591050,Dalarna,Ludvika,Ludvika,771 42,Maria Elisabeth Rudh,Verkställande direktör
Bergsängs Rör AB,,,8250,5,,,Värmland,Hagfors,Ekshärad,683 60,Sara Margaretha Lundin,Ledamot
Bergvärme i Sundsvall AB,,,26439,5,,,Västernorrland,Timrå,Timrå,861 36,Lars Åke Banér,Verkställande direktör
BF Kyla & Värmepumpar AB,,,4554,2,,033270044,Västra Götaland,Borås,Äspered,516 92,Bernd Michael Finkenwirth,Ledamot
BG:s Kyl & Värmeservice i Härnösand AB,,,2849,2,,,Västernorrland,Sundsvall,Matfors,864 31,Jonas Olof Eric Gustafsson,Ledamot
BGE Värmepumpar AB,,,,,,,,,,,,
BJ Kylspecialisten AB,,,,,,,,,,,,
BJ Värmemontage AB,,,31665,10,,,Södermanland,Eskilstuna,Kvicksund,635 31,Bengt Göran Jonasson,Ledamot
Blekinge Kylteknik,Asarum,Blekinge,547,1,,,Blekinge,Karlshamn,Karlshamn,374 38,Peter Håkan Mikael Sjöberg,Ledamot
Blekinge Rör & Svetsteknik AB,,,7898,3,,0766326230,Blekinge,Ronneby,Ronneby,372 30,Mats Robert Jönsson,Verkställande direktör
Blekinge Värmeservice,Karlskrona,Blekinge,12073,3,,,Blekinge,Karlskrona,Karlskrona,371 50,Mats Erik Sixten Pettersson,Verkställande direktör
BLM Kyl & Storkök AB,,,32614,13,,,Jönköping,Jönköping,Jönköping,553 02,Anders Bengt Erik Bjarnehall,Extern verkställande direktör
Blomquist Kylteknik AB,,,38591,12,,,Gävleborg,Bollnäs,Bollnäs,821 50,Olof Andreas Eriksson,Verkställande direktör
BME Kyl AB,,,17202,6,,,Stockholm,Stockholm,Stockholm,113 45,Bo Mikael Engfors,Ledamot
