bolagsnamn,ort,lan,adress,telefon,epost,webbplats,elzon,org_nr,vd_firmatecknare,anstallda,omsattning_ksek,bosch_partner,tier_elzon,tier_anstallda,tier_omsattning,tier_bosch,total_poang,tier
Klimio AB,Stockholm,Stockholm,Hangövägen 29 115 41 Stockholm,021-149400,kontakt@klimio.com,klimio.com,SE3,559350-9176,Johan Lind,10,34756,Ja,3,2,2,2,9,A
Tälje VVS AB,Södertälje,Stockholm,Brunnsängsvägen 32 152 42 Södertälje,08-550 104 64,info@taljevvs.se,,SE3,556292-0719,Mikael Sigren,8,20732,Ja,3,2,1,2,8,B
VVS Enheten AB,Hägersten,Stockholm,Karusellplan 10A 126 31 Hägersten,08-20 90 50,info@vvsenheten.se,,SE3,ej hittat,ej hittat,ej hittat,ej hittat,Ja,3,0,0,2,5,C
Bogi Värme AB,Sollentuna,Stockholm,Sjöängsvägen 10 192 72 Sollentuna,08-81 04 90,info@bogivarme.se,bogivarme.se,SE3,550335-1,ej hittat,5,7814,Ja,3,2,1,2,8,B
MPL Värmepumpspartner AB,Österskär,Stockholm,Lindholmsvägen 12A 184 52 Österskär,070-611 61 60,mpl@varmepumpspartner.se,varmepumpspartner.se,SE3,556728-2487,ej hittat,3,4703,Ja,3,2,0,2,7,B
24 Rör AB,Täby,Stockholm,Djursholmsvägen 62 183 52 Täby,08242420,info@24ror.se,24jour.se,SE3,556943-7493,Enrique Mussa Valdes,9,15263,Ja,3,2,1,2,8,B
Stig Hilmersson El-Service AB,Kristianstad,Skåne,Industrigatan 40 291 xx Kristianstad,044-781 80 80,info@hilmersson-el.se,,SE4,ej hittat,ej hittat,ej hittat,ej hittat,Ja,4,0,0,2,6,B
Kirk VVS & Konsult AB,Lund,Skåne,Håstadmöllavägen 13 225 94 Lund,0702697736,knud@kirk.se,,SE4,ej hittat,ej hittat,ej hittat,ej hittat,Ja,4,0,0,2,6,B
El & Kyl i Hbg AB,Helsingborg,Skåne,Andesitgatan 11C 254 68 Helsingborg,0768554440,elochkyl@gmail.com,,SE4,ej hittat,ej hittat,ej hittat,ej hittat,Ja,4,0,0,2,6,B
AB Sture Anderssons Rörinstallation,Ystad,Skåne,Norra Zinkgatan 15 271 39 Ystad,0411-199 80,richard.bagger@sa-rorinst.se,,SE4,556117-8244,Per-Olof Andersson,50,87279,Ja,4,1,2,2,9,A
Constructor Bohman AB,Kävlinge,Skåne,Bogesholmsvägen 15 244 39 Kävlinge,046712070,bengt@constructorab.se,constructorab.se,SE4,556995-4182,Bengt-Göran Bohman,3,3568,Ja,4,2,0,2,8,B
Sandbäckens Rör i Halmstad AB,Ängelholm,Skåne,Blekingegatan 7 262 43 Ängelholm,0431-473030,order.vp@sandbackens.se,sandbackens.se,SE4,ej hittat,ej hittat,ej hittat,ej hittat,Ja,4,0,0,2,6,B
Westheat AB,Göta,Västra Götaland,Flustervägen 7 463 35 Göta,076 213 99 01,info@westheatab.se,,SE3,556823-5260,Kjell Lennart Stefan Karlsson,3,10706,Ja,3,2,1,2,8,B
Hovby Rör AB,Lidköping,Västra Götaland,Hovby Ängsbo 531 92 Lidköping,0510-86500,info@hovbygruppen.se,,SE3,556414-8715,ej hittat,27,54808,Ja,3,3,2,2,10,A
Fyrstads Värmepumpar,Uddevalla,Västra Götaland,Skredsviks Kärr 122 451 xx Uddevalla,0522-64 10 63,berndtolsson@live.se,,SE3,ej hittat,ej hittat,ej hittat,ej hittat,Ja,3,0,0,2,5,C
Västgöta Värme&Kyla AB,Mariestad,Västra Götaland,Haggårdsvägen 3 542 94 Mariestad,0735414771,Info@vastgotavarme.se,,SE3,ej hittat,ej hittat,ej hittat,ej hittat,Ja,3,0,0,2,5,C
