id,name,url,city,phone,email,address,abo_orgnr,abo_employees,abo_vd_name,abo_vd_role,contact_email,contact_phone,confidence,services_list,se_zone,revenue_ksek,revenue_msek,employees_int,score_services,score_revenue,score_raw,mult_zone,mult_size,score_final,tier,has_water_brand,has_nibe,has_bosch,has_solar,has_ev,has_energiopt,brands_list
varberg-votab,VOTAB VVS & Värmeinstallation,https://www.bad-varme.se/ort/varberg-votab/,Varberg,0340-64 68 00,info@votab.se,Vagnvägen 12,5561383422,20,Erik Linus Gustafsson,Verkställande direktör,info@votab.se,0340-64 68 00,ok,energiopt,4,52997,53.0,20,3,2,5,1.28,1.0,6.4,A,0,0,0,0,0,1,
alingsas,Elterm,https://www.bad-varme.se/ort/alingsas/,Alingsås,0322-123 24,info@elterm.se,Tokebackavägen 16A,5565304713,11,Peter Joakim Andrén,Verkställande direktör,info@elterm.se,0322-123 24,low,"ev_charging,solar,wp_bergvarme,wp_franluft,wp_luft_vatten",3,26019,26.0,11,6,1,7,1.0,0.9,6.3,A,1,1,1,1,1,0,"bosch,ctc,daikin,ivt,mitsubishi,nibe,panasonic"
nybro,Hammarstedts VVS,https://www.bad-varme.se/ort/nybro/,Nybro,0481-76 60 00,erik@hammarstedtsvvs.se,Herkulesgatan 2,5569033458,14,Enar Bertil Edvardsson,Ordförande,erik@hammarstedtsvvs.se,0481-76 60 00,low,,3,36550,36.5,14,4,2,6,1.0,0.9,5.4,A,1,0,0,0,0,0,"ivt,thermia"
filipstad,Bad & Värme Filipstad,https://www.bad-varme.se/ort/filipstad/,Filipstad,0590-130 14,filipstad@bad-varme.se,Bagaregatan 6,5561087338,34,Birger Hans Christian Liljestrand,Verkställande direktör,filipstad@bad-varme.se,0590-130 14,low,,3,155455,155.5,34,2,3,5,1.0,1.0,5.0,A,0,0,0,0,0,0,
fagersta,Martin Palmqvist VVS,https://www.bad-varme.se/ort/fagersta/,Fagersta,0223-161 10,offert@palmqvistvvs.se,Henningsvägen 10,5591285530,6,Per Martin Palmqvist,Ledamot,offert@palmqvistvvs.se,0223-161 10,ok,energiopt,3,10651,10.7,6,4,1,5,1.0,0.9,4.5,B,1,0,0,0,0,1,ivt
hanaskog,VVS-Service i Knislinge,https://www.bad-varme.se/ort/hanaskog/,Hanaskog,044 – 614 11,oskar@savvs.se,Fabriksgatan 5,5590634969,14,Carl Oskar Roger Nordström,Verkställande direktör,oskar@savvs.se,044 – 614 11,low,,3,33701,33.7,14,3,2,5,1.0,0.9,4.5,B,1,0,0,0,0,0,ivt
hova,Hova Rörledningsaffär,https://www.bad-varme.se/ort/hova/,Hova,0506-307 95,info@hovaror.com,Arne Danielssons väg 1,5561681882,47,Anna Ingeborg Danielsson,Verkställande direktör,info@hovaror.com,0506-307 95,ok,,3,114525,114.5,47,2,3,5,1.0,0.9,4.5,B,0,0,0,0,0,0,
horby,Service & Fastighet i Skåne,https://www.bad-varme.se/ort/horby/,Hörby,070-712 87 34,sofror.og@gmail.com,Korsholm 7072,5569856957,46,Jacob Killian Grubits,Verkställande direktör,sofror.og@gmail.com,070-712 87 34,low,,3,102627,102.6,46,2,3,5,1.0,0.9,4.5,B,0,0,0,0,0,0,
laholm,Bad & Värme i Laholm,https://www.bad-varme.se/ort/laholm/,Laholm,0430-10 000 (09:00 – 16:00),butik.laholm@bad-varme.se,Kullsgårdsvägen 43,5569523060,79,Peter Willhelm Johansson,Extern verkställande direktör,butik.laholm@bad-varme.se,0430-10 000 (09:00 – 16:00),low,,3,191021,191.0,79,2,3,5,1.0,0.9,4.5,B,0,0,0,0,0,0,
salen,Installationsgruppen,https://www.bad-varme.se/ort/salen/,Sälen,0280-207 75,badovarme@installationsgruppen.com,Sälenvägen 15,5565830410,43,Anders Erik Valter Karlsson,Verkställande direktör,badovarme@installationsgruppen.com,0280-207 75,low,,3,103726,103.7,43,2,3,5,1.0,0.9,4.5,B,0,0,0,0,0,0,
