id,name,address,city,postal_code,phone_number,email,email_order,visit_address,visit_city,visit_zip,display_city,b2b,b2c,has_store,has_ecom,abo_orgnr,abo_employees,abo_vd_name,abo_vd_role,contact_email,contact_phone,confidence,se_zone,revenue_ksek,revenue_msek,employees_int,score_services,score_revenue,score_raw,mult_zone,mult_size,score_final,tier,has_wp_water,has_wp_luftluft,has_solar,has_energiopt,has_b2c_service,b2c_only
1083,Åseda Värme & Sanitet AB,Terminalgatan 1,Åseda,364 31,0474-101 52,info@asedavarme.se,info@asedavarme.se,Terminalgatan 1,Åseda,364 31,,True,True,False,True,5567362545,21,Jan Gunnar Magnus Johansson,Verkställande direktör,info@asedavarme.se,0474-101 52,ok,4,101233,101.2,21,9,3,12,1.28,1.0,15.36,A,1,1,0,1,1,0
1159,Infjärdens Värme AB Kristianstad,Bredbandsvägen 19,Kristianstad,291 62,044-620 00 60,kristianstad@ivab.com,,Bredbandsvägen 19,Kristianstad,291 62,,True,False,,,5564524188,24,Anders Per-Ole Ekdahl,Ledamot,kristianstad@ivab.com,044-620 00 60,low,4,206540,206.5,24,9,3,12,1.28,1.0,15.36,A,1,1,0,1,1,0
1111,Rör-Karlsson Mönsterås,Älgerumsvägen 30,Mönsterås,383 32,0499-430 32,info@ror-karlsson.se,info@ror-karlsson.se,Älgerumsvägen 30,Mönsterås,383 32,,True,True,True,True,5563958809,20,Jörgen Martin Forslund,Verkställande direktör,info@ror-karlsson.se,0499-430 32,ok,4,196843,196.8,20,9,3,12,1.28,1.0,15.36,A,1,1,0,1,1,0
1170,Erikssons VVS AB,Ägovägen 4,Asarum,374 52,0454-507 70,info@erikssonsvvs.se,filip@erikssonsvvs.se,Ägovägen 4,Asarum,374 52,,True,True,False,True,5567288229,23,Jan Emil Andreas Andersson,Verkställande direktör,info@erikssonsvvs.se,0454-507 70,ok,4,66874,66.9,23,9,2,11,1.28,1.0,14.08,A,1,1,0,1,1,0
1186,Carl-Philips VVS AB,Lundåkragatan 27,Landskrona,261 35,0418-44 61 30,info@carlphilipsvvs.se,carina.nilsson@carlphilipsvvs.se,Lundåkragatan 27,Landskrona,261 35,,True,True,False,True,5561982074,27,Kenth Stefan Nilsson,Verkställande direktör,info@carlphilipsvvs.se,0418-44 61 30,ok,4,41554,41.6,27,9,2,11,1.28,1.0,14.08,A,1,1,0,1,1,0
1185,CN Gruppen AB,Saxgatan 4,Malmö,211 24,040-38 08 70,info@cn-gruppen.se,info@cn-gruppen.se,Saxgatan 4,Malmö,211 24,,True,True,False,True,5567779631,27,Bo Johan Andersson,Verkställande direktör,info@cn-gruppen.se,040-38 08 70,ok,4,50770,50.8,27,9,2,11,1.28,1.0,14.08,A,1,1,0,1,1,0
1127,Newmans VVS AB,Södra Portgatan 44,Osby,283 50,0479-134 41,info@newmansvvs.se,elisabeth.ahlberg@newmansvvs.se,Södra Portgatan 44,Osby,283 50,,True,True,True,True,5561313874,19,Bengt-Ored Oredsson,Ledamot,info@newmansvvs.se,0479-134 41,ok,4,32502,32.5,19,9,2,11,1.28,1.0,14.08,A,1,1,0,1,1,0
1184,Comfort - butiken Vinbergs Rör,Mellangårdsvägen 1,Falkenberg,311 50,0346-71 71 55,comfortbutiken@vinbergsror.se,susanne@vinbergsror.se,Mellangårdsvägen 1,Falkenberg,311 50,,True,True,True,True,5565241337,93,Karl Gustav Hampus Giertz,Extern verkställande direktör,comfortbutiken@vinbergsror.se,0346-71 71 55,low,4,710898,710.9,93,9,3,12,1.28,0.9,13.82,A,1,1,0,1,1,0
1194,Aderbys Rör AB,Teknikgatan 4,Kungsbacka,434 37,0300-337 00,info@aderbys.se,service@aderbys.se,Teknikgatan 4,Kungsbacka,434 37,,True,True,True,True,5562729714,62,Patrik Andreas Molander,Verkställande direktör,info@aderbys.se,0300-337 00,ok,4,149832,149.8,62,9,3,12,1.28,0.9,13.82,A,1,1,0,1,1,0
1110,Rör-Karlsson Oskarshamn,Stensbergsvägen 7A,Oskarshamn,572 36,0491-189 91,info@ror-karlsson.se,info@ror-karlsson.se,Stensbergsvägen 7A,Oskarshamn,572 36,,True,True,False,,5562121441,6,Anna Josefina Axelsson,Extern verkställande direktör,info@ror-karlsson.se,0491-189 91,ok,4,270102,270.1,6,9,3,12,1.28,0.9,13.82,A,1,1,0,1,1,0
