Region,Bolagsnamn,Kontor_ort,Adress,Postnummer,Telefon,E_post,Webbplats,Overordnad_entitet,VD,Agare,Elzon,Anst_uppskattning,Omsattning_uppskattning_MSEK,Orgnr_status,Tjansteprofil,Kommentar
Mälardalen,Enwell AB (Mälardalen),Nacka,"Förmansvägen 11, Nacka",11759,020-51 02 00,malardalen@enwell.se,malardalen.enwell.se,Enwell AB,Michael Gozzi,Vattenfall,SE3,25-35,50-80 (del av Enwell AB),Enwell AB 556897-8636 (uppgiven i pressreleaser),IVT Center-partner — värmepumpsspecialist,Tre kontor: Nacka + Nyköping + Eskilstuna
Mälardalen,Enwell AB (Mälardalen),Nyköping,"Företagsvägen 2C, Nyköping",61145,0155-19 06 50,malardalen@enwell.se,malardalen.enwell.se,Enwell AB,Michael Gozzi,Vattenfall,SE3,25-35,50-80 (del av Enwell AB),Enwell AB 556897-8636,IVT Center-partner — värmepumpsspecialist,Del av Mälardalen-region
Mälardalen,Enwell AB (Mälardalen),Eskilstuna,"Kungsgatan 65, Eskilstuna",63221,020-51 02 00,malardalen@enwell.se,malardalen.enwell.se,Enwell AB,Michael Gozzi,Vattenfall,SE3,25-35,50-80 (del av Enwell AB),Enwell AB 556897-8636,IVT Center-partner — värmepumpsspecialist,Del av Mälardalen-region
Västmanland,Enwell AB (Västmanland),Krylbo,"Sångs gränd 14, Krylbo",77571,0224-67 70 00,sala@enwell.se,vastmanland.enwell.se,Enwell AB,Michael Gozzi,Vattenfall,SE3,20-30,40-60 (del av Enwell AB),Enwell AB 556897-8636,IVT Center-partner — värmepumpsspecialist,Tre kontor: Krylbo + Västerås + Sala
Västmanland,Enwell AB (Västmanland),Västerås,"Signalistgatan 13, Västerås",72131,0224-67 70 00,vastmanland@enwell.se,vastmanland.enwell.se,Enwell AB,Michael Gozzi,Vattenfall,SE3,20-30,40-60 (del av Enwell AB),Enwell AB 556897-8636,IVT Center-partner — värmepumpsspecialist,Del av Västmanland-region
Västmanland,Enwell AB (Västmanland),Sala,"Fabriksgatan 11, Sala",73339,0224-67 70 00,sala@enwell.se,vastmanland.enwell.se,Enwell AB,Michael Gozzi,Vattenfall,SE3,20-30,40-60 (del av Enwell AB),Enwell AB 556897-8636,IVT Center-partner — värmepumpsspecialist,Del av Västmanland-region
Stockholm,Enwell AB (Stockholm),Stockholm,"Förmansvägen 11, Stockholm",11759,010-602 35 00,info@enwell.se,enwell.se,Enwell AB,Michael Gozzi,Vattenfall,SE3,20-30,40-60 (del av Enwell AB),Enwell AB 556897-8636,IVT Center-partner — värmepumpsspecialist,Huvudkontor + lokal verksamhet
Stockholm,Enwell AB (Stockholm),Täby,"Mallslingan 18B, Täby",18766,020-77 88 55,stockholm@enwell.se,stockholm.enwell.se,Enwell AB,Michael Gozzi,Vattenfall,SE3,20-30,40-60 (del av Enwell AB),Enwell AB 556897-8636,IVT Center-partner — värmepumpsspecialist,Del av Stockholm-region
Uppland,Enwell AB (Uppland),Uppsala,"Arkgatan 1, Uppsala",75450,020-10 32 32,uppland@enwell.se,uppland.enwell.se,Enwell AB,Michael Gozzi,Vattenfall,SE3,15-25,30-50 (del av Enwell AB),Enwell AB 556897-8636,IVT Center-partner — värmepumpsspecialist,Täcker Uppsala och Gävle-trakten
Östergötland,Enwell AB (Östergötland),Söderköping,"Plåtgatan 3, Söderköping",61431,010-498 64 00,ostergotland@enwell.se,ostergotland.enwell.se,Enwell AB,Michael Gozzi,Vattenfall,SE3,20-30,40-60 (del av Enwell AB),Enwell AB 556897-8636,IVT Center-partner — värmepumpsspecialist,Täcker Söderköping + Linköping + Norrköping + Västervik
Småland,Enwell AB (Småland),Nässjö,"Brogatan 19, Nässjö",57141,0380-37 37 70,smaland@enwell.se,smaland.enwell.se,Enwell AB,Michael Gozzi,Vattenfall,SE3,20-30,40-60 (del av Enwell AB),Enwell AB 556897-8636,IVT Center-partner — värmepumpsspecialist,Tre kontor: Nässjö + Vetlanda + Tranås
Småland,Enwell AB (Småland),Vetlanda,"Stortorget 1, Vetlanda",57432,0383-190 30,smaland@enwell.se,smaland.enwell.se,Enwell AB,Michael Gozzi,Vattenfall,SE3,20-30,40-60 (del av Enwell AB),Enwell AB 556897-8636,IVT Center-partner — värmepumpsspecialist,Del av Småland-region
Småland,Enwell AB (Småland),Tranås,"Metallgatan 3, Tranås",57338,0140-38 61 30,smaland@enwell.se,smaland.enwell.se,Enwell AB,Michael Gozzi,Vattenfall,SE3,20-30,40-60 (del av Enwell AB),Enwell AB 556897-8636,IVT Center-partner — värmepumpsspecialist,Del av Småland-region
Skåne,Enwell AB (Skåne),Everöd,"Stora vägen 48, Everöd",29772,044-23 83 50,skane@enwell.se,skane.enwell.se,Enwell AB,Michael Gozzi,Vattenfall,SE4,15-25,30-50 (del av Enwell AB),Enwell AB 556897-8636,IVT Center-partner — värmepumpsspecialist,Täcker Everöd + Höör (IVT Center båda)
