Company name,City,Phone number,Website URL,Number of employees,Annual revenue,opti_org_nr,opti_elzon,opti_tier,opti_poang,opti_marken,opti_partner_niva,opti_kalla,opti_pitch_vinkel,opti_anteckning
Sandbäckens Rör i Ronneby AB,Ronneby,0457635540,,36,93784000,559018-1300,SE4,A,11,Thermia,Värmepumpcenter,Thermia,,
Kyl- & värmepumpservice Ängelholm AB,Ängelholm,043129070,,10,30175000,556791-8825,SE4,A,10,"Daikin, Thermia",Värmepumpcenter,"Daikin, Thermia",,
Francks Kylindustri,Hässleholm,0451381150,https://francksref.com/applikationer/varmepumpar/kopa/,36,177022000,556657-1369,SE4,A,10,Thermia,Standard,Thermia,,
Thörnquist Rör AB,Karlskrona,045520682,,16,50078000,556276-3374,SE4,A,10,Thermia,Standard,Thermia,,
Enwell AB (Skåne),Everöd,044238350,,,,,SE4,A,10,"IVT, NIBE",IVT Center,Enwell,SE4 + fullstack värmepumpsexpert — högsta elprisexponering,Enwell-kedja (Vattenfall). Centralt avtal rekommenderas.
Roland Johanssons Rörservice AB,Södra Sandby,0706340676,,8,10767000,556458-5437,SE4,A,9,Thermia,Värmepumpcenter,Thermia,,
Hässleholms & Tyringes VVS-Team AB,Hässleholm,045146700,,15,35394000,556525-4462,SE4,A,9,Thermia,Standard,Thermia,,
AB Sture Anderssons Rörinstallation,Ystad,041119980,,50,87279000,556117-8244,SE4,A,9,Bosch,Bosch Climate Partner,Bosch,3,
4T Energy Consulting AB,Hollviken,070-381 67 82,,2,8587000,556499-3532,SE4,A,6,NIBE,installator,NIBE,,
Åkerbo VVS AB,Lottorp,073-0752507,,,,,SE4,A,6,NIBE,installator,NIBE,,
AM Villabutiken AB,Limhamn,040423042,,1,11608000,556745-5877,SE4,A,6,NIBE,installator,NIBE,,
"Anderssons Rörinstallationer AB, Sture",Ystad,0733562299,,,,,SE4,A,6,NIBE,installator,NIBE,,
Assemblin VS AB,Kristianstad,0104753000,,1059,2464455000,556053-6194,SE4,A,6,NIBE,installator,NIBE,,
Assemblin VS AB,Ronneby,0104753000,,1059,2464455000,556053-6194,SE4,A,6,NIBE,installator,NIBE,,
Assemblin VS AB,Trelleborg,0104753000,,1059,2464455000,556053-6194,SE4,A,6,NIBE,installator,NIBE,,
Backaryds VVS AB,Backaryd,,,,,,SE4,A,6,NIBE,installator,NIBE,,
BeNor Solar AB,Vaxjo,,,,,,SE4,A,6,NIBE,installator,NIBE,,
Blekinge Rörtjänst AB,Ronneby,0457 26220,,,,,SE4,A,6,NIBE,installator,NIBE,,
Blekinge Värmeservice AB,Asarum,,,,,,SE4,A,6,NIBE,installator,NIBE,,
Bo Gustavssons Ror Ab,Ljungbyhed,0435-761140,,,,,SE4,A,6,NIBE,installator,NIBE,,
Bunkeflo Ror Ab,Vellinge,0733-42 96 36,,,,,SE4,A,6,NIBE,installator,NIBE,,
Ekerums Ror Ab,Borgholm,070-7356902,,,,,SE4,A,6,NIBE,installator,NIBE,,
ELAN EL & VVS AB,Vvs Ab  Ystad,041129880,,71,145109000,556236-2631,SE4,A,6,NIBE,installator,NIBE,,
ELAN EL & VVS AB,Vvs Ab  Simrishamn,041129880,,71,145109000,556236-2631,SE4,A,6,NIBE,installator,NIBE,,
Eorb Ab,Ljungby,0372-25200,,,,,SE4,A,6,NIBE,installator,NIBE,,
Espinge El,Vvs Ab  Osby,047917853,,,,,SE4,A,6,NIBE,installator,NIBE,,
Hassleholms Rorservice Ab,Hassleholm,,,,,,SE4,A,6,NIBE,installator,NIBE,,
J Thompsons Vvs Ab,Tingsryd,070-61 192 48,,,,,SE4,A,6,NIBE,installator,NIBE,,
Jannes Vvs Ab,Hoor,0415-14540,,,,,SE4,A,6,NIBE,installator,NIBE,,
K G Johanssons Ror Ab,Nyhro,0481-45176,,,,,SE4,A,6,NIBE,installator,NIBE,,
Karlshamns Vvs Ab,Karlshamn,0454-81900,,2,4167000,559244-5018,SE4,A,6,NIBE,installator,NIBE,,
Lakerols Ror Ab,Kolboda,,,,,,SE4,A,6,NIBE,installator,NIBE,,
Linero Ror Ab,Lund,070 353 68 89,,,,,SE4,A,6,NIBE,installator,NIBE,,
M A Bergstrom Vvs Ab,Ljungby,0372-25200,,,,,SE4,A,6,NIBE,installator,NIBE,,
Magle Ror Ab,Kavlinge,,,,,,SE4,A,6,NIBE,installator,NIBE,,
Maglehems Ror Ab,Kristianstad,044-126320,,,,,SE4,A,6,NIBE,installator,NIBE,,
