bolagsnamn,ort,lan,elomrade,certifiering,telefon,epost,webbplats,notering,kalla
Rördoktorn/IVT-Center,Haninge,Stockholms län,SE3,IVT Center,08-77 71 50 0,,,"Stockholm-region IVT Center",https://www.ivt.se/hitta-oss/
Evepe AB,Bro,Stockholms län,SE3,Standard,08-58 17 55 44,,,"",https://www.ivt.se/stockholm/
Huddinge Maskinservice,Huddinge,Stockholms län,SE3,Standard,08-71 16 60 6,,,"",https://www.ivt.se/stockholm/
Mälardalens Värmepumpscenter,Liljeholmen,Stockholms län,SE3,IVT Center,020-51 02 00,,,"Även IVT Center i Eskilstuna",https://www.ivt.se/stockholm/
Revider Energi AB,Sollentuna,Stockholms län,SE3,Standard,08-40 83 26 34,,,"",https://www.ivt.se/stockholm/
Värmedynamik i Södertälje AB,Södertälje,Stockholms län,SE3,Standard,08-55 80 75 80,,,"",https://www.ivt.se/stockholm/
Team Wåhlin Värmeteknik AB,Vallentuna,Stockholms län,SE3,Standard,08-51 17 04 99,,,"IVT-serviceombud sedan 1999",https://www.ivt.se/stockholm/
Energipartner Sverige AB,Bromma,Stockholms län,SE3,Standard,08-80 28 05,,,"Även Daikin-partner",https://www.ivt.se/stockholm/
Kyl & Värmepumpservice i Sthlm AB,Järfälla,Stockholms län,SE3,Standard,08-58 01 00 30,,,"",https://www.ivt.se/stockholm/
VärmeKompaniet Stockholm AB,Saltsjö-Boo,Stockholms län,SE3,Standard,08-718 28 38,,,"",https://www.ivt.se/stockholm/
Effektiv Energi Stockholm AB,Märsta,Stockholms län,SE3,Standard,08-591 184 00,,,"",https://www.ivt.se/stockholm/
Energikomfort Sverige AB,Täby,Stockholms län,SE3,Standard,08-58 86 71 50,,,"",https://www.ivt.se/stockholm/
Energieffektivisering i Sverige AB,Lidingö,Stockholms län,SE3,Standard,08-27 92 00,,,"",https://www.ivt.se/stockholm/
Inneklimat AB,Skå,Stockholms län,SE3,Standard,08-56 02 48 00,,,"",https://www.ivt.se/stockholm/
Relax Rör,Tyresö,Stockholms län,SE3,Standard,08-77 03 33 2,,,"",https://www.ivt.se/stockholm/
BST Värmepumpar,Älvsjö,Stockholms län,SE3,Standard,070-728 60 95,,,"",https://www.ivt.se/stockholm/
Mälardalens Värmepumpscenter AB,Eskilstuna,Södermanlands län,SE3,IVT Center,020-510200,,,"No1-service partner",https://www.ivt.se/hitta-oss/sodermanland/eskilstuna/malardalens-varmepumpscenter-ab/
Johan Wirsén AB,Uppsala,Uppsala län,SE3,Standard,018-750 11 88,,,"Fullerö Nyboda 355",https://www.ivt.se/hitta-oss/uppsala/uppsala/johan-wirsen-ab/
Värmepumpcenter i Gävle AB,Gävle,Gävleborgs län,SE2,IVT Center,026-14 29 01,,,"Johannesbergsvägen 25 B",https://www.ivt.se/hitta-oss/gavleborg/gavle/varmepumpcenter-i-gavle-ab/
IVT Center/Falun,Falun,Dalarnas län,SE2,IVT Center,023-28341,,,"Norra järnvägsgatan 31B",https://www.ivt.se/hitta-oss/dalarna/falun/ivt-centerfalun/
