bolagsnamn,ort,lan,elomrade,certifiering,telefon,epost,webbplats,produktfokus,notering,kalla
Kyl & Värmepumpservice i Halmstad AB,Halmstad,Hallands län,SE3,Auktoriserad ME,+46351739 10,info@kylservice.se,,"Kommersiell kyla; värmepumpar","Halmstad",https://mitsubishielectric.se/aterforsaljare/kyl-and-varmepumpservice-i-halmstad
Värme & Kylteknik i Jämtland AB,Östersund,Jämtlands län,SE2,Auktoriserad ME,+46632127 1,info@varmekyl.se,,"Projektering; installation; service värmepumpar","Östersund; Jämtland",https://mitsubishielectric.se/aterforsaljare/varme-and-kylteknik-i-jamtland-ab
Kiruna Kyla & Värme AB,Kiruna,Norrbottens län,SE1,Auktoriserad ME,+469801608 0,erik.nygren@kkvab.se,,"Värmepumpar; HVAC","Kiruna; yttersta norden",https://mitsubishielectric.se/aterforsaljare/kiruna-kyla-and-varme-ab
Strömstads Värme & Sanitet AB,Strömstad,Västra Götalands län,SE3,Auktoriserad ME,+465261307 5,info@comfort-stromstad.com,,"Värme; sanitet; värmepumpar","60+ år; 50 anst; norra Bohuslän",https://mitsubishielectric.se/aterforsaljare/stromstads-varme-and-sanitet-ab
S-VÄRME AB,Hallsberg,Örebro län,SE3,Auktoriserad ME,+461958213 0,svarme@telia.com,,"Luft/luft; luft/vatten; bergvärme","Hallsberg; 30 år erfarenhet",https://mitsubishielectric.se/aterforsaljare/s-varme-ab
Siverssons VVS & Värme AB,Åhus,Skåne län,SE4,Auktoriserad ME,+464455015,info@siverssonsvvs.se,,"Luft/vatten; bergvärme; AC","Åhus; Skåne; luft/vatten + berg",https://mitsubishielectric.se/aterforsaljare/siverssons-vvs-and-varme-ab
JS Energi / JS Energi Service AB,Helsingborg,Skåne län,SE4,Auktoriserad ME,+4642400100 1,service@jsenergi.com,,"Luft/luft; luft/vatten; bergvärme; frånluft","20+ cert tekniker; 600h/år utbildning; Helsingborg",https://mitsubishielectric.se/aterforsaljare/js-energi-service-ab
Borås Elektrokyl-Energiteknik,Borås,Västra Götalands län,SE3,Auktoriserad ME,+4633205520,info@elektrokyl.se,,"Kyla; värme; ventilation; sol-el; styrsystem","Borås; brett erbjudande",https://mitsubishielectric.se/aterforsaljare/boras-elektrokyl-energiteknik
Avent Kyl AB,Kalmar,Kalmar län,SE3,Auktoriserad ME,+4648049313 1,info@avent.se,,"Berg; jordvärme; luft/vatten; luft/luft","Kalmar; brett vattenburet fokus",https://mitsubishielectric.se/aterforsaljare/avent-kyl-ab
Dalarnas VVS & Värmeteknik AB,Ludvika,Dalarnas län,SE2,Auktoriserad ME,+4624040602 1,Info@dvvab.se,,"Rör; kyla; värme; värmepumpar","Ludvika; Dalarna",https://mitsubishielectric.se/aterforsaljare/dalarnas-vvs-and-varmeteknik-ab
