bolagsnamn,ort,lan,elomrade,certifiering,telefon,epost,elomrade_poang,cert_poang,total_poang,tier,produktfokus_opti,prioritet_notering
Siverssons VVS & Värme AB,Åhus,Skåne,SE4,Auktoriserad ME,+464455015,info@siverssonsvvs.se,4,1,5,B,"Luft/vatten; bergvärme","SE4 + luft/vatten + berg = starkt OPTi-case"
JS Energi / JS Energi Service AB,Helsingborg,Skåne,SE4,Auktoriserad ME,+46424001001,service@jsenergi.com,4,1,5,B,"Luft/vatten; bergvärme","SE4; 20+ tekniker; luft/vatten + berg; hög kapacitet"
Lindsells AB,Löddeköpinge,Skåne,SE4,Auktoriserad ME (kat 1),+464671300 5,info@lindsells.se,4,1,5,B,"Luft/vatten; VVS","SE4; kat 1 = högsta behörighet; 50+ år erfarenhet"
EkoEnergi AB,Lomma,Skåne,SE4,Auktoriserad ME,+4640534630,info@ekoenergi.se,4,1,5,B,"Luft/vatten; bergvärme","SE4; Skåne; luft/vatten + berg"
A4U I Skåne AB,Teckomatorp,Skåne,SE4,Auktoriserad ME,+46728582939,info@a4uab.se,4,1,5,B,"Luft/vatten","SE4; 400+ installationer; lokalt fokus"
Energitjänst VK AB,Limhamn,Skåne,SE4,Auktoriserad ME,040-15 96 96,info@energitjanst.nu,4,1,5,B,"Luft/vatten; bergvärme","SE4; Skåne; säljer IVT + ME + Bosch - multi-brand partner"
Avent Kyl AB,Kalmar,Kalmar,SE3,Auktoriserad ME,+46480493131,info@avent.se,3,1,4,B,"Berg; luft/vatten","SE3; brett vattenburet fokus; stark OPTi-relevans"
Kyl-Bergman AB,Västervik,Kalmar,SE3,Auktoriserad ME,+46490215 51,info@kyl-bergman.nu,3,1,4,B,"Värmepumpar; kyla","SE3; Västervik"
Strömstads Värme & Sanitet AB,Strömstad,Västra Götaland,SE3,Auktoriserad ME,+46526130 75,info@comfort-stromstad.com,3,1,4,B,"Värme; sanitet","SE3; 60+ år; 50 anst; norra Bohuslän"
Berglunds Rör i Vegby AB,Gällstad,Västra Götaland,SE3,Auktoriserad ME,+4632172031,jakob@berglundsror.se,3,1,4,B,"Berg; luft/vatten","SE3; Borås/Ulricehamn; berg-specialister"
Borgätningen Borås Elektrokyl-Energiteknik,Borås,Västra Götaland,SE3,Auktoriserad ME,+4633205520,info@elektrokyl.se,3,1,4,B,"Värme; sol-el; styrsystem","SE3; Borås; sol-el + styrsystem → nära OPTi-världen"
Svensk Kylservice AB,Göteborg,Västra Götaland,SE3,Auktoriserad ME,031-82 48 18,info@svenskkylservice.se,3,1,4,B,"Luft/vatten; bergvärme","SE3; Göteborg + 16 kommuner; luft/vatten + berg"
KylKontroll Göteborg AB,Västra Frölunda,Västra Götaland,SE3,Auktoriserad ME,031-685720,info@kylkontroll.se,3,1,4,B,"Värmepumpar; kyla","SE3; Göteborg; certifierat kylteknikföretag"
S-VÄRME AB,Hallsberg,Örebro,SE3,Auktoriserad ME,+46195821 30,svarme@telia.com,3,1,4,B,"Luft/vatten; bergvärme","SE3; Hallsberg; 30 år; luft/vatten + berg"
Klimatpartner i Sverige AB,Örebro,Örebro,SE3,Auktoriserad ME,+46191210121,info@klimatpartner.com,3,1,4,B,"Värmepumpar","SE3; Örebro; grundat 2016; 80+ år sammanlagd erfarenhet"
Kyl & Värmepumpservice i Halmstad AB,Halmstad,Halland,SE3,Auktoriserad ME,+4635173910,info@kylservice.se,3,1,4,B,"Kommersiell kyla; värmepumpar","SE3; Halmstad"
Varma Huset i Sollentuna AB,Järfälla,Stockholm,SE3,Auktoriserad ME,+46858350053,john@varmahuset.se,3,1,4,B,"Luft/vatten; bergvärme","SE3; Järfälla/Trosa; tyst ME = luft/vatten"
Upplands Kyl & Värme AB,Uppsala,Uppsala,SE3,Auktoriserad ME,+46184444040,info@upplandskylovarme.se,3,1,4,B,"Luft/vatten; AC","SE3; Uppsala"
Allklimat Fastigheter AB,Upplands Väsby,Stockholm,SE3,Auktoriserad ME,08-514 962 50,info@allklimat.se,3,1,4,B,"Bergvärme","SE3; Sthlm-region; bergvärme-specialist (Geodan)"
Din värmepump Gotland AB,Visby,Gotland,SE3,Auktoriserad ME,0498-241129,info@dinvarmepump.se,3,1,4,B,"Luft/luft; bergvärme","SE3; Gotland; ej topprioritet"
Dalarnas VVS & Värmeteknik AB,Ludvika,Dalarna,SE2,Auktoriserad ME,+46240406021,Info@dvvab.se,2,1,3,C,"Rör; kyla; värme","SE2; Dalarna; lägre prioritet"
Värme & Kylteknik i Jämtland AB,Östersund,Jämtland,SE2,Auktoriserad ME,+466321271,info@varmekyl.se,2,1,3,C,"Projektering; installation","SE2; Östersund"
Kiruna Kyla & Värme AB,Kiruna,Norrbotten,SE1,Auktoriserad ME,+469801608 0,erik.nygren@kkvab.se,1,1,2,C,"Värmepumpar; HVAC","SE1; Kiruna; lägst prioritet"
