company_name,city,postal_code,elzon,partner_type,cert_level,score,tier,phone,email,website,source_url
4T Energy Consulting Ab,Hollviken,236 32,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/4t-energy-consulting-ab--hollviken-23632-installator
Akerbo Vvs Ab,Lottorp,387 72,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/akerbo-vvs-ab--lottorp-38772-installator
Am Villabutiken Ab,Limhamn,216 16,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/am-villabutiken-ab--limhamn-21616-installator
Anderssons Rorinstallationer Ab Sture,Ystad,271 39,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/anderssons-rorinstallationer-ab-sture--ystad-27139-installator
Assemblin Vs Ab,Kristianstad,291 59,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/assemblin-vs-ab--kristianstad-29159-installator
Assemblin Vs Ab,Ronneby,372 22,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/assemblin-vs-ab--ronneby-37222-installator
Assemblin Vs Ab,Trelleborg,231 62,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/assemblin-vs-ab--trelleborg-23162-installator
Backaryds Vvs Ab,Backaryd,372 96,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/backaryds-vvs-ab--backaryd-37296-installator
Benor Solar Ab,Vaxjo,352 44,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/benor-solar-ab--vaxjo-35244-installator
Blekinge Rortjanst Ab,Ronneby,372 37,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/blekinge-rortjanst-ab--ronneby-37237-installator
Blekinge Varmeservice Ab,Asarum,374 92,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/blekinge-varmeservice-ab--asarum-37492-installator
Bo Gustavssons Ror Ab,Ljungbyhed,268 77,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/bo-gustavssons-ror-ab--ljungbyhed-26877-installator
Bunkeflo Ror Ab,Vellinge,235 32,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/bunkeflo-ror-ab--vellinge-23532-installator
Ekerums Ror Ab,Borgholm,387 95,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/ekerums-ror-ab--borgholm-38795-installator
Elan El,Vvs Ab  Ystad,271 39,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/elan-el--vvs-ab--ystad-27139-installator
Elan El,Vvs Ab  Simrishamn,272 36,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/elan-el--vvs-ab--simrishamn-27236-installator
Eorb Ab,Ljungby,341 32,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/eorb-ab--ljungby-34132-installator
Espinge El,Vvs Ab  Osby,283 30,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/espinge-el--vvs-ab--osby-28330-installator
Hassleholms Rorservice Ab,Hassleholm,281 33,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/hassleholms-rorservice-ab--hassleholm-28133-installator
J Thompsons Vvs Ab,Tingsryd,362 42,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/j-thompsons-vvs-ab--tingsryd-36242-installator
Jannes Vvs Ab,Hoor,243 33,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/jannes-vvs-ab--hoor-24333-installator
K G Johanssons Ror Ab,Nyhro,389 75,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/k-g-johanssons-ror-ab--nyhro-38975-installator
Karlshamns Vvs Ab,Karlshamn,374 32,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/karlshamns-vvs-ab--karlshamn-37432-installator
Lakerols Ror Ab,Kolboda,370 40,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/lakerols-ror-ab--kolboda-37040-installator
Linero Ror Ab,Lund,223 67,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/linero-ror-ab--lund-22367-installator
M A Bergstrom Vvs Ab,Ljungby,341 32,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/m-a-bergstrom-vvs-ab--ljungby-34132-installator
Magle Ror Ab,Kavlinge,243 62,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/magle-ror-ab--kavlinge-24362-installator
Maglehems Ror Ab,Kristianstad,291 94,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/maglehems-ror-ab--kristianstad-29194-installator
Mellstroms Ror Ab,Hoganas,263 91,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/mellstroms-ror-ab--hoganas-26391-installator
Mns Ror,Energi Ab  Sodra Sandby,247 92,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/mns-ror--energi-ab--sodra-sandby-24792-installator
Ny Rorservice Ab,Ekeby,242 32,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/ny-rorservice-ab--ekeby-24232-installator
Nybro Vvs Ab,Nybro,382 31,SE4,installator,Installatör,6,A,,,,https://www.nibe.eu/sv-se/partner/nybro-vvs-ab--nybro-38231-installator
