org_nr,bolagsnamn,ort,elzon,tier,poang,vd_namn,epost,telefon,webb,anstallda,omsattning_kkr,marken,partner_niva,kalla,pitch_vinkel,anteckning
559018-1300,Sandbäckens Rör i Ronneby AB,Ronneby,SE4,A,11,Sonny Ingemar Lennart Johansson,info.ronneby@sandbackens.se,0457635540,,36,93784,Thermia,Värmepumpcenter,Thermia,,
556791-8825,Kyl- & värmepumpservice Ängelholm AB,Ängelholm,SE4,A,10,Sven Rune Lennart Starnert,rune@kylvarmeservice.se,043129070,,10,30175,"Daikin, Thermia",Värmepumpcenter,"Daikin, Thermia",,
556657-1369,Francks Kylindustri,Hässleholm,SE4,A,10,Sture Mikael Eriksson,ola.olsson@francksref.se,0451381150,https://francksref.com/applikationer/varmepumpar/kopa/,36,177022,Thermia,Standard,Thermia,,
556276-3374,Thörnquist Rör AB,Karlskrona,SE4,A,10,Henrik Birger Hjalmarsson,henrik@thror.se,045520682,,16,50078,Thermia,Standard,Thermia,,
,Enwell AB (Skåne),Everöd,SE4,A,10,Michael Gozzi,skane@enwell.se,044238350,,,,"IVT, NIBE",IVT Center,Enwell,SE4 + fullstack värmepumpsexpert — högsta elprisexponering,Enwell-kedja (Vattenfall). Centralt avtal rekommenderas.
556458-5437,Roland Johanssons Rörservice AB,Södra Sandby,SE4,A,9,Daniel Petrus Mattias Johansson,rorservice@telia.com,0706340676,,8,10767,Thermia,Värmepumpcenter,Thermia,,
556525-4462,Hässleholms & Tyringes VVS-Team AB,Hässleholm,SE4,A,9,Hans Patrik Johansson,percy@vvs-teamet.se,045146700,,15,35394,Thermia,Standard,Thermia,,
556117-8244,AB Sture Anderssons Rörinstallation,Ystad,SE4,A,9,Per-Olof Andersson,richard.bagger@sa-rorinst.se,041119980,,50,87279,Bosch,Bosch Climate Partner,Bosch,3,
556499-3532,4T Energy Consulting AB,Hollviken,SE4,A,6,Mattias Jens Thylander,lars@4tec.se,070-381 67 82,,2,8587,NIBE,installator,NIBE,,
,Åkerbo VVS AB,Lottorp,SE4,A,6,,info@akerbovvs.se,073-0752507,,,,NIBE,installator,NIBE,,
556745-5877,AM Villabutiken AB,Limhamn,SE4,A,6,Viktor Patrik Ljungberg,info@villabutiken.nu,040423042,,1,11608,NIBE,installator,NIBE,,
,"Anderssons Rörinstallationer AB, Sture",Ystad,SE4,A,6,,kontor@sa-rorinst.se,0733562299,,,,NIBE,installator,NIBE,,
556053-6194,Assemblin VS AB,Kristianstad,SE4,A,6,Andreas Aristiadis,jimmy.hildinggren@assemblin.se,0104753000,,1059,2464455,NIBE,installator,NIBE,,
556053-6194,Assemblin VS AB,Ronneby,SE4,A,6,Andreas Aristiadis,Henric.Thornsund@assemblin.se,0104753000,,1059,2464455,NIBE,installator,NIBE,,
556053-6194,Assemblin VS AB,Trelleborg,SE4,A,6,Andreas Aristiadis,johan.andersson@assemblin.se,0104753000,,1059,2464455,NIBE,installator,NIBE,,
,Backaryds VVS AB,Backaryd,SE4,A,6,,Gundelheinz5@gmail.com,,,,,NIBE,installator,NIBE,,
,BeNor Solar AB,Vaxjo,SE4,A,6,,marie@benor.se,,,,,NIBE,installator,NIBE,,
,Blekinge Rörtjänst AB,Ronneby,SE4,A,6,,johan@blekingerortjanst.se,0457 26220,,,,NIBE,installator,NIBE,,
,Blekinge Värmeservice AB,Asarum,SE4,A,6,,blekinge@varmeservice.org,,,,,NIBE,installator,NIBE,,
,Bo Gustavssons Ror Ab,Ljungbyhed,SE4,A,6,,,0435-761140,,,,NIBE,installator,NIBE,,
,Bunkeflo Ror Ab,Vellinge,SE4,A,6,,,0733-42 96 36,,,,NIBE,installator,NIBE,,
,Ekerums Ror Ab,Borgholm,SE4,A,6,,,070-7356902,,,,NIBE,installator,NIBE,,
556236-2631,ELAN EL & VVS AB,Vvs Ab  Ystad,SE4,A,6,André Pierre Robert Stridh,info@elanelvvs.se,041129880,,71,145109,NIBE,installator,NIBE,,
556236-2631,ELAN EL & VVS AB,Vvs Ab  Simrishamn,SE4,A,6,André Pierre Robert Stridh,info@elanelvvs.se,041129880,,71,145109,NIBE,installator,NIBE,,
,Eorb Ab,Ljungby,SE4,A,6,,,0372-25200,,,,NIBE,installator,NIBE,,
,Espinge El,Vvs Ab  Osby,SE4,A,6,,,047917853,,,,NIBE,installator,NIBE,,
,Hassleholms Rorservice Ab,Hassleholm,SE4,A,6,,,,,,,NIBE,installator,NIBE,,
,J Thompsons Vvs Ab,Tingsryd,SE4,A,6,,,070-61 192 48,,,,NIBE,installator,NIBE,,
,Jannes Vvs Ab,Hoor,SE4,A,6,,,0415-14540,,,,NIBE,installator,NIBE,,
,K G Johanssons Ror Ab,Nyhro,SE4,A,6,,,0481-45176,,,,NIBE,installator,NIBE,,
559244-5018,Karlshamns Vvs Ab,Karlshamn,SE4,A,6,Karl Magnus Olsson,,0454-81900,,2,4167,NIBE,installator,NIBE,,
,Lakerols Ror Ab,Kolboda,SE4,A,6,,,,,,,NIBE,installator,NIBE,,
,Linero Ror Ab,Lund,SE4,A,6,,,070 353 68 89,,,,NIBE,installator,NIBE,,
,M A Bergstrom Vvs Ab,Ljungby,SE4,A,6,,,0372-25200,,,,NIBE,installator,NIBE,,
,Magle Ror Ab,Kavlinge,SE4,A,6,,,,,,,NIBE,installator,NIBE,,
,Maglehems Ror Ab,Kristianstad,SE4,A,6,,,044-126320,,,,NIBE,installator,NIBE,,
,Mellstroms Ror Ab,Hoganas,SE4,A,6,,,042-338000,,,,NIBE,installator,NIBE,,
,Mns Ror,Energi Ab  Sodra Sandby,SE4,A,6,,,,,,,NIBE,installator,NIBE,,
,Ny Rorservice Ab,Ekeby,SE4,A,6,,,042-250410,,,,NIBE,installator,NIBE,,
559558-6552,Nybro Vvs Ab,Nybro,SE4,A,6,Kenny Burt Jerry Wallh,,0480-38880,,1-4,,NIBE,installator,NIBE,,
,O Lindqvists Ror Ab,Hassleholm,SE4,A,6,,,,,,,NIBE,installator,NIBE,,
,Osby Rorservice Ab,Osby,SE4,A,6,,,0479-17750,,,,NIBE,installator,NIBE,,
,Osterlens Rorinstallationer Ab,Simrishamn,SE4,A,6,,,0414-28790,,,,NIBE,installator,NIBE,,
,Per Johanssons Vvs,Eslov,SE4,A,6,,,0413 33112,,,,NIBE,installator,NIBE,,
,Polhems Ror Ab,Horby,SE4,A,6,,,070-5480611,,,,NIBE,installator,NIBE,,
,R H Vvs Ab,Malmo,SE4,A,6,,,,,,,NIBE,installator,NIBE,,
,Rokestads Ror,Kyla Ab  Eslov,SE4,A,6,,,,,,,NIBE,installator,NIBE,,
,Ronnebyortens El,Vvs Ab  Ronneby,SE4,A,6,,,,,,,NIBE,installator,NIBE,,
,Rorbolaget I Malmo Ab,Malmo,SE4,A,6,,,,,,,NIBE,installator,NIBE,,
,Sa Rorinstallation Ab,Hoganas,SE4,A,6,,,042-338000,,,,NIBE,installator,NIBE,,
,Simrishamns Ror Ab,Simrishamn,SE4,A,6,,,0414-28790,,,,NIBE,installator,NIBE,,
,Soback Rorinstallation Ab,Svalov,SE4,A,6,,,,,,,NIBE,installator,NIBE,,
,Söderåkra VVS AB,Soderakra,SE4,A,6,,soderakravvs@gmail.com,,,,,NIBE,installator,NIBE,,
559132-6078,Stensborg VVS AB,Fagelmara,SE4,A,6,Carl Ola Sandgren,,,,3,8045,NIBE,installator,NIBE,,
,Sturkö-Jämjö Rör och Värmeinstallationer AB,Jamjo,SE4,A,6,,info@sjror.se,,,,,NIBE,installator,NIBE,,
,Termoklimat Skåne AB,Svedala,SE4,A,6,,,040406600,,,,NIBE,installator,NIBE,,
556489-1231,Thimsfors VVS AB,Bastad,SE4,A,6,Per Ingemar Håkan Jonsson,info@thimsforsvvs.se,043316201,,51,104663,NIBE,installator,NIBE,,
556489-1231,Thimsfors VVS AB,Almhult,SE4,A,6,Per Ingemar Håkan Jonsson,info@thimsforsvvs.se,043316201,,51,104663,NIBE,installator,NIBE,,
,Tim Svenssons Rör AB,Alvesta,SE4,A,6,,tim@hsvenssonsror.se,,,,,NIBE,installator,NIBE,,
,Trelleborgs Rörservice AB,Trelleborg,SE4,A,6,,info@trelleborgsrorservice.se,,,,,NIBE,installator,NIBE,,
,Tuvessons VVS AB,Billinge,SE4,A,6,,info@tuvessonsvvs.se,,,,,NIBE,installator,NIBE,,
,Värmepumpsbolaget i Kristianstad AB,Kristianstad,SE4,A,6,,varmepumpsbolaget@bikab.net,,,,,NIBE,installator,NIBE,,
,Värmia Syd AB,Harslov,SE4,A,6,,Info@varmia.se,,,,,NIBE,installator,NIBE,,
,Varmitek Energisystem AB,Helsingborg,SE4,A,6,,info@varmitek.se,,,,,NIBE,installator,NIBE,,
,Vvs-Cirkeln i Lund AB,Staffanstorp,SE4,A,6,,info@vvscirkeln.se,,,,,NIBE,installator,NIBE,,
,VVS Svepet AB,Loddekopinge,SE4,A,6,,vvssvepet@gmail.com,,,,,NIBE,installator,NIBE,,
,VVS-Teknik Kristianstad AB,Kristianstad,SE4,A,6,,info@vvs-teknik-ksd.se,,,,,NIBE,installator,NIBE,,
,VVS-Tjänst i Gualöv AB,Gualov,SE4,A,6,,vvstjanst@telia.com,,,,,NIBE,installator,NIBE,,
,VVS-Tjänst i Sölvesborg AB,Solvesborg,SE4,A,6,,vvs-tjanst@telia.com,,,,,NIBE,installator,NIBE,,
,VVSar’n i Blekinge AB,Svangsta,SE4,A,6,,simon@vvsarniblekinge.com,,,,,NIBE,installator,NIBE,,
,Wickmans Rör,Vellinge,SE4,A,6,,info@wickmansror.se,,,,,NIBE,installator,NIBE,,
,WIDERBERGS RÖR,Garsnas,SE4,A,6,,johan@widerbergsror.se,,,,,NIBE,installator,NIBE,,
,Energitjänst VK AB,Limhamn (Malmö),SE4,A,6,,info@energitjanst.nu,040159696,,,,IVT,IVT Center,IVT,SE4 + IVT Center; No1 Service; säljer även Mitsubishi → hög öppenhet för OPTi,
,Skånska Energilösningar AB,Södra Sandby,SE4,A,6,,,046120024,,,,IVT,IVT Center,IVT,SE4 + IVT Center; Skåne-täckning,
,Åseda Värme & Sanitet AB,Åseda,SE4,A,,Jan Jan Gunnar Magnus Johansson,info@asedavarme.se,047410152,https://www.comfort.se/butiker/1083,21,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
,Infjärdens Värme AB Kristianstad,Kristianstad,SE4,A,,Anders Anders Per-Ole Ekdahl,kristianstad@ivab.com,0446200060,https://www.comfort.se/butiker/1159,24,,Comfort,Comfort-butik,Comfort,"värmepump (vatten), energioptimering",
